descricao,contad_ocai,score
Percentual Custo Fixo  %,,0
Percentual Custo Fixo  %,,0
Percentual Custo Fixo  %,,0
Receita Total,,0
Custo Variavel Fornecedor diversos,,0
Lucro Bruto,,0
Custo Fixo,,0
Lucro operacional Liquido,,0
,,0
,,0
,,0
,,0
,,0
